
2024/05/14 (16:26:13) | ===> btop++ v.1.3.2
2024/05/14 (16:26:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:58:19) | ===> btop++ v.1.3.2
2024/05/25 (19:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:59:19) | ===> btop++ v.1.3.2
2024/05/25 (19:59:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (21:13:46) | ===> btop++ v.1.3.2
2024/05/25 (21:13:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (19:26:54) | ===> btop++ v.1.3.2
2024/05/27 (19:26:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (13:14:57) | ===> btop++ v.1.3.2
2024/06/07 (13:14:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (15:38:52) | ===> btop++ v.1.3.2
2024/06/10 (15:38:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (12:51:34) | ===> btop++ v.1.3.2
2024/06/12 (12:51:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (13:18:53) | ===> btop++ v.1.3.2
2024/06/12 (13:18:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
